CN,DBCode,JournalId,Publisher,JournalName,ISSN,ISBN,VolumeId,VolNo1,VolNo2,Pubyear,HoldingFlag,ArticleId,Title,Abstract,Author,FulltextFlag,AbstractFlag,PageInfo,DOI,FulltextURL,ContentURL,MobileURL,Keyword,Degree,query
NART17711727,JAFO,NJOU00042669,Terra Antartica,Terra Antartica,1122-8628;;,,3,10,1,2003,,NART17711727,"Carbonate Diagenesis of the Cenozoic Sedimentary Succession from the CRP-3 Core, Ross Sea, Antarctica",,"Aghib, F. S.;Fielding, C. R.;Frank, T. D.;",0,0,pp.27-38,,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART17711727,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART17711727&type=mobile,,,Ross Sea core
ATN0000982383,JAFO,NJOUJRN0000052709,Published by Copernicus on behalf of the European Geosciences Union,Climate of the Past Discussions,;;,,,,,2018,,ATN0000982383,"An 83&amp;amp;thinsp;000 year old ice core from Roosevelt Island, Ross Sea, Antarctica","<jats:p><p><strong>Abstract.</strong> In 2013, an ice core was recovered from Roosevelt Island in the Ross Sea, Antarctica, as part of the Roosevelt Island Climate Evolution (RICE) project. Roosevelt Island is located between two submarine troughs carved by paleo-ice-streams. The RICE ice core provides new important information about the past configuration of the West Antarctic Ice Sheet and its retreat during the most recent deglaciation. In this work, we present the RICE17 chronology and discuss preliminary observations from the new records of methane, the isotopic composition of atmospheric molecular oxygen (δ<sup>18</sup>O-O<sub><i>atm</i></sub>), the isotopic composition of atmospheric molecular nitrogen (δ<sup>15</sup>N-N<sub>2</sub>) and total air content (TAC). RICE17 is a composite chronology combining annual layer interpretations, gas synchronization, and firn modeling strategies in different sections of the core. An automated matching algorithm is developed for synchronizing the high-resolution section of the RICE gas records (60&amp;amp;ndash;720<span class='thinspace'></span>m, 1971<span class='thinspace'></span>CE to 30<span class='thinspace'></span>ka) to corresponding records from the WAIS Divide ice core, while deeper sections are manually matched. Ice age for the top 343<span class='thinspace'></span>m (2635<span class='thinspace'></span>yr BP, before 1950<span class='thinspace'></span>C.E.) is derived from annual layer interpretations and described in the accompanying paper by Winstrup et al. (2017). For deeper sections, the RICE17 ice age scale is based on the gas age constraints and the ice age-gas age offset estimated by a firn densification model. <br><br> Novel aspects of this work include: 1) stratigraphic matching of centennial-scale variations in methane for pre-anthropogenic time periods, a strategy which will be applicable for developing precise chronologies for future ice cores, 2) the observation of centennial-scale variability in methane throughout the Holocene which suggests that similar variations during the late preindustrial period need not be anthropogenic, and 3) the observation of continuous climate records dating back to ∼<span class='thinspace'></span>65<span class='thinspace'></span>ka which provide evidence that the Roosevelt Island Ice Dome was a constant feature throughout the last glacial period.</p>
                    </jats:p>",Lee James E.;Brook Edward J.;Bertler Nancy A. N.;Buizert Christo;Baisden Troy;Blunier Thomas;Ciobanu V. Gabriela;Conway Howard;Dahl-Jensen Dorthe;Fudge Tyler J.;Hindmarsh Richard;Keller Elizabeth D.;Parrenin Frédéric;Severinghaus Jeffrey P.;Vallelonga Paul;Waddington Edwin D.;Winstrup Mai;,0,1,pp.1-44,https://doi.org/10.5194/cp-2018-68,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=ATN0000982383,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=ATN0000982383&type=mobile,,,Ross Sea core
NART81576331,JAFO,NJOU00002680,,Geophysical research letters,0094-8276;1944-8007;,,805,43,10,2016,,NART81576331,Ice core reconstruction of sea ice change in the Amundsen&#x2010;Ross Seas since 1702 A.D.,"<P><B>Abstract</B></P><P>Antarctic sea ice has been increasing in recent decades, but with strong regional differences in the expression of sea ice change. Declining sea ice in the Bellingshausen Sea since 1979 (the satellite era) has been linked to the observed warming on the Antarctic Peninsula, while the Ross Sea sector has seen a marked increase in sea ice during this period. Here we present a 308 year record of methansulphonic acid from coastal West Antarctica, representing sea ice conditions in the Amundsen&#8208;Ross Sea. We demonstrate that the recent increase in sea ice in this region is part of a longer trend, with an estimated ~1&deg; northward expansion in winter sea ice extent (SIE) during the twentieth century and a total expansion of ~1.3&deg; since 1702. The greatest reconstructed SIE occurred during the mid&#8208;1990s, with five of the past 30 years considered exceptional in the context of the past three centuries.</P>","Thomas, Elizabeth R.;Abram, Nerilie J.;",2,1,pp.5309-5317,https://doi.org/10.1002/2016gl068130,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART81576331,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART81576331&type=mobile,sea ice reconstruction . ice core . Antarctica,,Ross Sea core
NART68181695,JAFO,NJOU00007376,Elsevier,Global and planetary change,0921-8181;;,,210,110,3,2013,,NART68181695,"Iron oxide tracers of ice sheet extent and sediment provenance in the ANDRILL AND-1B drill core, Ross Sea, Antarctica","The AND-1B drill core recovered a 13.57millionyear Miocene through Pleistocene record from beneath the McMurdo Ice Shelf in Antarctica (77.9<SUP>o</SUP>S, 167.1<SUP>o</SUP>E). Varying sedimentary facies in the 1285m core indicate glacial-interglacial cyclicity with the proximity of ice at the site ranging from grounding of ice in 917m of water to ice free marine conditions. Broader interpretation of climatic conditions of the wider Ross Sea Embayment is deduced from provenance studies. Here we present an analysis of the iron oxide assemblages in the AND-1B core and interpret their variability with respect to wider paleoclimatic conditions. The core is naturally divided into an upper and lower succession by an expanded 170m thick volcanic interval between 590 and 760m. Above 590m the Plio-Pleistocene glacial cycles are diatom rich and below 760m late Miocene glacial cycles are terrigenous. Electron microscopy and rock magnetic parameters confirm the subdivision with biogenic silica diluting the terrigenous input (fine pseudo-single domain and stable single domain titanomagnetite from the McMurdo Volcanic Group with a variety of textures and compositions) above 590m. Below 760m, the Miocene section consists of coarse-grained ilmenite and multidomain magnetite derived from Transantarctic Mountain lithologies. This may reflect ice flow patterns and the absence of McMurdo Volcanic Group volcanic centers or indicate that volcanic centers had not yet grown to a significant size. The combined rock magnetic and electron microscopy signatures of magnetic minerals serve as provenance tracers in both ice proximal and distal sedimentary units, aiding in the study of ice sheet extent and dynamics, and the identification of ice rafted debris sources and dispersal patterns in the Ross Sea sector of Antarctica.","Brachfeld, S.;Pinzon, J.;Darley, J.;Sagnotti, L.;Kuhn, G.;Florindo, F.;Wilson, G.;Ohneiser, C.;Monien, D.;Joseph, L.;",2,1,pp.420-433,https://doi.org/10.1016/j.gloplacha.2013.09.015,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART68181695,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART68181695&type=mobile,electron microscopy . ANDRILL . Antarctic Ice Sheet . rock magnetism . sediment provenance,,Ross Sea core
NART100598700,JAFO,NJOU00034906,American Geophysical Union,Journal of geophysical research : JGR. D : Atmospheres,0148-0227;;,,39591,115,d22,2010,,NART100598700,"Synoptic controls on precipitation pathways and snow delivery to high&#x2010;accumulation ice core sites in the Ross Sea region, Antarctica","<P>Dominant storm tracks to two ice core sites on the western margin of the Ross Sea, Antarctica (Skinner Saddle (SKS) and Evans Piedmont Glacier), are investigated to establish key synoptic controls on snow accumulation. This is critical in terms of understanding the seasonality, source regions, and transport pathways of precipitation delivered to these sites. In situ snow depth and meteorological observations are used to identify major accumulation events in 2007-2008, which differ considerably between sites in terms of their magnitude and seasonal distribution. While snowfall at Evans Piedmont Glacier occurs almost exclusively during summer and spring, Skinner Saddle receives precipitation year round with a lull during the months of April and May. Cluster analysis of daily back trajectories reveals that the highest&#x2010;accumulation days at both sites result from fast&#x2010;moving air masses, associated with synoptic&#x2010;scale low&#x2010;pressure systems. There is evidence that short&#x2010;duration pulses of snowfall at SKS also originate from mesocyclone development over the Ross Ice Shelf and local moisture sources. Changes in the frequency and seasonal distribution of these mechanisms of precipitation delivery will have a marked impact on annual accumulation over time and will therefore need careful consideration during the interpretation of stable isotope and geochemical records from these ice cores.</P>","Sinclair, K. E.;Bertler, N. A. N.;Trompetter, W. J.;",2,1,pp.2010JD014383,https://doi.org/10.1029/2010jd014383,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART100598700,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART100598700&type=mobile,,,Ross Sea core
ATN0019975355,JAFO,NJOUJRN0000045747,日本堆積學會,Journal of the Sedimentological Society of Japan,;;,,VIS0000874391,46,46,1997,,ATN0019975355,"Organic components of the sediment core samples from the Ross Sea continental shelf, Antarctica",,Masatoshi Komiya;Akira Nishimura;,0,0,pp.43-48,https://doi.org/10.4096/jssj1995.46.43,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=ATN0019975355,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=ATN0019975355&type=mobile,,,Ross Sea core
NART113315483,JAFO,NJOU00019047,Copernicus GmbH,Journal of micropalaeontology : the journal of the British Micropalaeontological Society,0262-821x;2041-4978;,,81,40,1,2021,,NART113315483,Last Glacial Maximum to Holocene paleoceanography of the northwestern Ross Sea inferred from sediment core geochemistry and micropaleontology at Hallett Ridge,"<P>Abstract. During the Late Pleistocene-Holocene, the Ross Sea Ice Shelf exhibited strong spatial variability in relation to the atmospheric and oceanographic climatic variations. Despite being thoroughly investigated, the timing of the ice sheet retreat from the outer continental shelf since the Last Glacial Maximum (LGM) still remains controversial, mainly due to a lack of sediment cores with a robust chronostratigraphy. For this reason, the recent recovery of sediments containing a continuous occurrence of calcareous foraminifera provides the important opportunity to create a reliable age model and document the early deglacial phase in particular. Here we present a multiproxy study from a sediment core collected at the Hallett Ridge (1800 m of depth), where significant occurrences of calcareous planktonic and benthic foraminifera allow us to document the first evidence of the deglaciation after the LGM at about 20.2 ka. Our results suggest that the co-occurrence of large Neogloboquadrina pachyderma tests and abundant juvenile forms reflects the beginning of open-water conditions and coverage of seasonal sea ice. Our multiproxy approach based on diatoms, silicoflagellates, carbon and oxygen stable isotopes on N. pachyderma, sediment texture, and geochemistry indicates that abrupt warming occurred at approximately 17.8 ka, followed by a period of increasing biological productivity. During the Holocene, the exclusive dominance of agglutinated benthic foraminifera suggests that dissolution was the main controlling factor on calcareous test accumulation and preservation. Diatoms and silicoflagellates show that ocean conditions were variable during the middle Holocene and the beginning of the Neoglacial period at around 4 ka. In the Neoglacial, an increase in sand content testifies to a strengthening of bottom-water currents, supported by an increase in the abundance of the tycopelagic fossil diatom Paralia sulcata transported from the coastal regions, while an increase in ice-rafted debris suggests more glacial transport by icebergs. </P>","Melis, Romana;Capotondi, Lucilla;Torricella, Fiorenza;Ferretti, Patrizia;Geniram, Andrea;Hong, Jong Kuk;Kuhn, Gerhard;Khim, Boo-Keun;Kim, Sookwan;Malinverno, Elisa;Yoo, Kyu Cheul;Colizza, Ester;",2,1,pp.15-35,http://dx.doi.org/10.5194/jm-40-15-2021,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART113315483,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART113315483&type=mobile,,,Ross Sea core
NART116118795,JAFO,NJOU00556035,MDPI AG,Geosciences,;2076-3263;,,70,11,9,2021,,NART116118795,"An Age Scale for the First Shallow (Sub-)Antarctic Ice Core from Young Island, Northwest Ross Sea","<P>The climate of the sub-Antarctic is important in understanding the environmental conditions of Antarctica and the Southern Ocean. However, regional climate proxy records from this region are scarce. In this study, we present the stable water isotopes, major ion chemistry, and dust records from the first ice core from the (sub-)Antarctic Young Island. We present and discuss various dating approaches based on commonly used ice core proxies, such as stable water isotopes and seasonally deposited ions, together with site-specific characteristics such as melt layers. The dating approaches are compared with estimated precipitation rates from reanalysis data (ERA5) and volcanic cryptotephra shards likely presenting an absolute tie point from a 2001 CE eruption on neighboring Sturge Island. The resulting ice core age scale spans the period 2016 to 1995, with an uncertainty of ±2 years.</P>","Moser, Dorothea Elisabeth;Jackson, Sarah;Kjær, Helle Astrid;Markle, Bradley;Ngoumtsa, Estelle;Pedro, Joel B.;Segato, Delia;Spolaor, Andrea;Tetzner, Dieter;Vallelonga, Paul;Thomas, Elizabeth R.;",2,1,pp.368,https://doi.org/10.3390/geosciences11090368,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART116118795,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART116118795&type=mobile,,,Ross Sea core
NPAP04811555,CFFO,NPRO00222370,,Conference on Chemical Evolution; First steps in the origin of life in the universe,;;,1-402-00077-4;;,1,2001,,2001,,NPAP04811555,PERSISTENCE OF LIVING PLANKTONIC FORAMINIFERA (Neoglobuquadrina pachyderma) IN ANTARCTIC SEA-ICE INFERRED FROM A STUDY OF A SEDIMENT CORE (ROSS SEA CONTINENTAL MARGIN),,"Bonaccorsi, R.;Melis, R.;",0,0,pp.255-260,,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NPAP&cn=NPAP04811555,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NPAP&cn=NPAP04811555&type=mobile,,,Ross Sea core
NART53070143,JAFO,NJOU00011285,,Toxicological and environmental chemistry,0277-2248;1029-0486;,,167,92,3,2010,,NART53070143,Temporal variability and environmental availability of inorganic constituents in an Antarctic marine sediment core from a polynya area in the Ross Sea,"<P> Marine sediments are sinks and repositories of matter recirculated in the environment by a number of different processes. They behave as environmental archives, providing a key to the understanding of the processes occurring in a given region in the course of time. In this work, we characterized the inorganic composition of a surface sediment core collected in the polynya of Terra Nova Bay (TNB) in the Ross Sea, an area of major environmental interest as it hosts a number of crucial processes connecting atmospheric transport with the Southern Ocean system. The total concentrations of major, minor, and trace elements were determined. The results were treated with chemometric techniques. In order to investigate the environmental mobility of several elements, the modified Bureau of Community Reference (BCR) three-step sequential extraction procedure was applied and the partitioning of eight metals (Cd, Cr, Cu, Fe, Mn, Ni, Pb, and Zn) into different fractions was determined. The knowledge of the metal distribution across this Antarctic sediment core allowed us to assess long-term climatic changes and possible natural background values in this specific environment. Furthermore, the results showed a separation between higher and lower sections of the core that suggests a stronger fingerprint from biogenic and geological processes, respectively.</P>","Malandrino, Mery;Mentasti, Edoardo;Giacomino, Agnese;Abollino, Ornella;Dinelli, Enrico;Sandrini, Silvia;Tositti, Laura;",2,1,pp.453-475,http://dx.doi.org/10.1080/02772240903300147,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART53070143,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART53070143&type=mobile,Antarctic marine sediments . metal . polynya area . pattern recognition . fractionation,,Ross Sea core
NART37982535,JAFO,NJOU00293869,,地球科學進展 = Advance in earth sciences,1001-8166;;,,19,20,7,2005,,NART37982535,ANTARCTIC SEA ICE AND CLIMATE,"<P>The sea ice frozen on polar ocean forms a new interface between the upper ocean and the lower at-mosphere. Sea ice plays an important part in the climate and environment system of Earth through its modifying role in radiative and energy balances, prevent the exchange of heat and moisture between the ocean and almosphere. The salt reject during processes of sea ice freezing affects the ocean structure and circulation. Sea ice also affects the weather and climate at the South Ocean and Antarctic continent. The area of Antarctic sea ice takes about 58% of all the area of south hemisphere cryosphere, and 3. 58% of Earth surface area. The seasonal sea ice area in Ant-arctica is about 83% of all sea ice area. The area of sea ice in Antarctica decreases to the smallest, about 3x10 km2, at February in the end of Austral summer; the area increases to the largest, around 18 x 10 km ,at Septem-ber in the end of Austral winter, the fluctuant range for one year-living sea ice is about 15 x 10 km . The seasonal change of sea ice is larger than 500% , one of the greatest seasonal surface changes on Earth. The inter-annual var-iations of sea ice zones are big. Antarctic sea ice area is one of key regions, which affect the global climate and en-vironment in season and inter-annual. To understand sea ice processes and the interactions between ocean and at-mosphere in sea ice area are the main objectives of international Antarctic sea ice and climate programs. Some pro-gresses of research on sea ice and clime, and international programs on Antarctic sea ice are reviewed.</P>","Kang, Jiancheng;Tang, Shulin;Liu, Leibao;",2,1,pp.786-793,,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART37982535,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART37982535&type=mobile,Antarctica . Sea ice . Climate,,Antarctic climate
NART52534418,JAFO,NJOU00013708,Routledge,Scottish geographical magazine,0036-9225;;,,893,17,9,1901,,NART52534418,Antarctic climate,,,2,0,pp.473-480,http://dx.doi.org/10.1080/00369220108733281,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART52534418,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART52534418&type=mobile,,,Antarctic climate
NART79091599,JAFO,NJOU00002680,,Geophysical research letters,0094-8276;1944-8007;,,814,43,19,2016,,NART79091599,Under ice habitats for Antarctic krill larvae: Could less mean more under climate warming?,"<P><B>Abstract</B></P><P>Overwintering of larvae underneath Antarctic pack ice is a critical stage in the life cycle of Antarctic krill. However, there are no circumpolar assessments of available habitat for larval krill, making it difficult to evaluate how climate change may impact this life stage. We use outputs from a circumpolar sea ice model, together with a set of simple assumptions regarding key habitat features, to identify possible regions of larval krill habitat around Antarctica during winter. We assume that the location and suitability of habitat is determined by both food availability and three&#8208;dimensional complexity of the sea ice. A comparison of the combined area of these regions under current conditions with a warm climate scenario indicates that while total areal sea ice extent decreases, there is a consistently larger area of potential larval krill habitat under warm conditions. These findings suggest that decreases in sea ice extent may not necessarily be detrimental for krill populations.</P>","Melbourne&#x2010;Thomas, J.;Corney, S. P.;Trebilco, R.;Meiners, K. M.;Stevens, R. P.;Kawaguchi, S.;Sumner, M. D.;Constable, A. J.;",2,1,pp.10322-10327,https://doi.org/10.1002/2016gl070846,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART79091599,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART79091599&type=mobile,Antarctic krill . sea ice habitat . climate change . habitat model,,Antarctic climate
NART32943927,JAFO,NJOU00034909,American Geophysical Union,Journal of geophysical research : JGR. C : Oceans,0148-0227;;,,22616,112,c7,2007,,NART32943927,Antarctic coastal polynya response to climate change,"<P>Sensitivity of sea ice formation and dense shelf water production to perturbations of air temperature, precipitation, and wind stress in an important Antarctic coastal polynya system is investigated. Shelf water formation in the Mertz Glacier Polynya is a major source of Ad&eacute;lie Land Bottom Water. Coupled ocean and sea ice model simulations for 1996-1999 span a transitional period of the system: The 1996-1997 strong polynya state is characterized by high sea ice growth and export, ocean to atmosphere heat flux, shelf water density, and rate of dense water export; in the 1998-1999 weak polynya state all these quantities are greatly reduced. The 1990s interannual variability in air temperature and precipitation is of similar magnitude to future increases as projected for the Southern Ocean by the IPCC assessment. We model the polynya with perturbed climate change forcing and find that the system shows a reduction in shelf water export in both the strong/weak modes. Overall, the dense water export is reduced by 40% for a 2&deg;C surface warming, and by 33% for a 20 cm a<SUP>&#x2212;1</SUP> precipitation increase. In the weak polynya state that is more likely in future climate, shelf water export is reduced by 81% for the warming and by 65% for the freshening. The reduction in dense shelf water export implies a corresponding reduction in Antarctic Bottom Water formation.</P>","Marsland, S. J.;Church, J. A.;Bindoff, N. L.;Williams, G. D.;",2,1,pp.2005JC003291,https://doi.org/10.1029/2005jc003291,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART32943927,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART32943927&type=mobile,,,Antarctic climate
NART114338525,JAFO,NJOU00427567,Japanese Society of Snow and Ice,雪氷,0373-1006;1883-6267;,,257,55,3,1993,,NART114338525,Reports on antarctic climate research (I).,,"Antarctic Climate Research Planning,",2,0,pp.221-228,http://dx.doi.org/10.5331/seppyo.55.221,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART114338525,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART114338525&type=mobile,,,Antarctic climate
NART114338167,JAFO,NJOU00427567,Japanese Society of Snow and Ice,雪氷,0373-1006;1883-6267;,,204,55,4,1993,,NART114338167,Reports on Antarctic Climate Research (II).,,"Antarctic Climate Research Planning,",2,0,pp.361-369,http://dx.doi.org/10.5331/seppyo.55.361,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART114338167,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART114338167&type=mobile,,,Antarctic climate
NART26570559,JAFO,NJOU00003215,JSTOR,The Geographical journal,0016-7398;1475-4959;,,159,14,4,1899,,NART26570559,The Antarctic Climate,,"Arctowski, Henry",2,0,pp.413,http://dx.doi.org/10.2307/1774452,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART26570559,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART26570559&type=mobile,,,Antarctic climate
NART83269203,JAFO,NJOU00010615,Cambridge University Press,The Polar record,0032-2474;1475-3057;,,174,22,136,1984,,NART83269203,Antarctic Climate Research,,,2,0,pp.124-124,http://dx.doi.org/10.1017/S0032247400005039,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART83269203,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=NART&cn=NART83269203&type=mobile,,,Antarctic climate
DIKO0017053832,DIKO,,이화여자대학교 대학원,,,,,,,2024,,DIKO0017053832,Climate-related signals in coastal Antarctic snow-pit and ice core records,"남극의 스노우핏(snow-pit)과 빙하코어는 과거 지구의 기후 및 환경 변화의 이해하는데 필수적인 정보를 가지고 있기에 고기후 복원 프록시(proxy)로 활용된다. 남극대륙의 광대함, 복잡한 기후 시스템 및 관련 관측 자료 부족으로 인해 과거 기후를&amp;#xD; 복원하는데 상당한 어려움이 있다. 특히 해안 지역은 남극 내륙보다 변동성이 상당하여 추가적인 빙하코어 자료를 확보하는 연구가 필요하다. 따라서 남극 빙하코어에 기록된 장기적인 기후 환경변화를 해석하기 위해서는 해안 빙하코어 기록과 현장 기반 연구를 확장하는 것이 중요하다. 본 논문은 주로 해안(Victoria Land 및 Lambert Glacier Basin)의 스노우핏 및 빙하코어 기록(물안정동위원소, 주요 이온, 미량 원소)에서 기후 관련 정보를 조사고자 하였다. 또한 따뜻한 여름 시즌에 해안&amp;#xD; 지역에서는 눈의 표면에 용융이 발생하고 그 물이 눈 층을 침투하여 궁극적으로 빙하코어 기록에서 용융 층이 형성된다. 이러한 기후 관련 용융 층은 빙하코어 기록을 해석하는 데 어려움을 초래하므로 용융수의 동위원소 변화를 예측하는 것이 중요하다. 따라서 본 논문에서는 동위원소적으로 이질적인(heterogeneous) 얼음 층이 용융되는 동안 용융수의 동위원소 진화도 조사하였다. 이는 눈, 빙하 및 영구 동토층의 용융수 방출 뿐만 아니라 남극 빙하코어의 용융수 신호를 해석하는 연구로 더 확장될 수 있다. 본 논문은 8 개의 장으로 구성되어 있다. 1 장에서는 배경 정보를 제공하고 이 논문에서 다루는 연구 주제를 소개하였다. 2 장과 3 장에서는 Victoria Land 에 위치한 Styx-Glacier 스노우핏과 빙하코어에서 기록된 물 안정동위원소, 이온 및 적설량을 이용하여 해양 지역의 기후요소(해수면 온도 및 해빙면적) 감지가 가능하였다. 1979-2014 년 동안 연간규모에서 스노우의 δ18O 와 대기침적 지점의 대기 온도 사이에는 뚜렷한 상관관계가 관찰되지 않았다. 이 지역의 해양 조건은 지역 및 대규모 대기 순환 패턴(예: SAM, ASL 및 ENSO)에 민감하기 때문에 Styx-M 빙하코어의 장기 기록이 이러한 패턴과 연결될 수 있다. 또한 미량 원소는 주변 얼음이 없는 지역에서 주 공급원을 나타난다. 보다 장기(1957–2013, 1872–2013) 기록을 다루는 Victoria Land의 빙하코어(GV7-C)에서는 에서 기후 관련 신호를 논의하였다(4장). 1957–2013 년 동안 δ18O 와 d-excess 는 GV7-C 지점의 눈이 서태평양과 인도양 남동부를 거쳐 남대양에서 시작되었음을 시사하였다. 1872–2013 년의 경우 dexcess 와 해수면 온도 상관관계는 인도양 을 통해 남대양에서 시작되었음을 나타난다. 적설량 데이터는 기후 인자와 강한 상관관계가 관찰되지 않았다. 전반적으로 본 연구는 지구 온난화의 맥락에서 중요한 남대양의 인도양에 대한 저위도 기후와의 원격 연결에 대한 선행적 통찰력을 제공하고 있다. 여러 개의 스노우핏에서 수집된 다양한 거리와 지리적으로 구별되는 Lambert Glacier Basin(5 장)에서 수집된 미량 원소는 δ18O 및 이온과 달리 사이트 및 원소 의존적 패턴을 보였다. 이는 배출원에 대한 접근성과 대기 수송 패턴의 의존성을 나타난다. 내륙 지역은 일반적으로 겨울철에 증가하는 경향이 약한 미량 원소 농도가 더 높았다. 잠재적인 소스는 지각 먼지, 잠재적인 인위적 배출 및 일부 해양 영향으로 확인됐다. 이러한 발견은 여러 미량 원소에 대한 귀중한 배경 데이터를 제공하여 더 긴 빙하코어를 사용하는 고기후 연구에 대한 통찰력을 제공한다. 제 6 장과 7 장에서는 이질적인 얼음 층이 녹는 동안의 동위원소 교환 과정을 모델링과 용융 실험을 통해 조사하였다. 초기 레이어 순서와 동위원소 조성의 차이가 용융수의 동위원소 진화에 상당한 영향을 미쳤다. 동위원소 교환 및 이에 관여하는 얼음의 비율(fraction of ice)을 증가시키면서 더 다양한 패턴이 나타난다. 이는 다양한 요인이 자연 조건에서 상당한 역할을 하지만 동위원소 이질성이 용융수 동위원소의 진화에 중요한 역할을 한다는 것을 시사한다. 산소와 수소의 동위원소 교환 속도 상수는 유사하였다. 또한 동위원소 교환 속도 상수는 균질한 얼음 층과 스노우팩(snowpack)에 대해 수행된 이전 연구와 일치했으며 여과(percolation) 속도에 따라 증가하는 경향을 보여주었다. 이 연구는 용융수의 동위원소 변화에서 유동 조건의 중요성을 시사한다. 이러한 발견은 용융에 따른 동위원소 진화 과정을 이해하고 극지지역 빙하코어의 용융층을 해석하는데 도움이 될 것이다. 본 학위논문은 남극 해안 지역의 스노우핏과 빙하코어에서 파생된 기후 변동성에 대한 새로운 통찰력을 제공하며 보다 장기간의 고기후 데이터를 재구성하는 데 필수적인 배경 연구가 될 것이다. 또한 동위원소적으로 이질적인 얼음 층 또는&amp;#xD; 스노우팩에서 용융수의 동위원소 진화과정에 대한 모델링 및 실험 결과는 얼음 코어의 용융수 층 신호를 해석하는 데 광범위하게 적용되며 특히 기후 변화 측면에서 더 광범위한 수문학적 연구에 기여할 것이다.","Nyamgerel, Yalalt",0,0,"xix, 278 p.",,,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=05787966&target=DIKO&cn=DIKO0017053832,,Climate-related signals in coastal Antarctic snow-pit and ice core records;,국내박사,Antarctic climate
